Date,Open,High,Low,Close,Volume
2018-08-24,6525,6725,6440.5,6681.64,38305.675322
2018-08-25,6686.98,6789,6650.61,6733.64,19220.505929
2018-08-26,6733.64,6775.27,6568,6700,20107.297208
2018-08-27,6700,6940.51,6646.5,6908.64,37747.078747
2018-08-28,6907.26,7135,6860,7076.11,48352.917163
2018-08-29,7077,7133.81,6912.34,7031.22,43252.487392
2018-08-30,7033.21,7063.63,6784.81,6984.84,44716.77462
2018-08-31,6984.84,7089,6888,7011.21,40467.400638
2018-09-01,7011.21,7275,7008.74,7200.01,40323.414093
2018-09-02,7201.57,7345.45,7127,7302.01,39814.840352
2018-09-03,7302,7338.28,7191.63,7263.02,32396.018371
2018-09-04,7263,7410,7227.17,7359.06,35300.640518
2018-09-05,7359.05,7397.3,6682,6700,63715.256267
2018-09-06,6697.27,6725,6265,6516.01,60644.464227
2018-09-07,6516.84,6544,6320,6395.54,38906.28805
2018-09-08,6395.54,6478,6111,6185.05,38215.032171
2018-09-09,6185.06,6441,6141.53,6250.81,37053.92382
2018-09-10,6252.26,6373.98,6221,6312,32439.456432
2018-09-11,6311.99,6404,6169.68,6294.91,33104.88859
2018-09-12,6293,6360,6192.37,6338.62,31433.645939
2018-09-13,6338.62,6535,6337.4,6487.38,40465.063107
2018-09-14,6487.39,6584.99,6385.62,6476.63,37173.339277
2018-09-15,6476.63,6565.45,6466.13,6514.96,25243.656612
2018-09-16,6514.96,6524.62,6370,6505,27568.132897
2018-09-17,6500.08,6533.84,6201,6248.69,35987.254738
2018-09-18,6248.69,6390,6224.98,6336.45,32620.86667
2018-09-19,6336.39,6517.7,6123,6391.89,39044.080082
2018-09-20,6392,6540,6325,6492,25189.024728
2018-09-21,6492,6784.86,6491,6759.02,51779.343463
2018-09-22,6759.01,6839.03,6627,6723.05,29349.690667
2018-09-23,6723.05,6788.23,6661.75,6708,30286.229773
2018-09-24,6706.81,6730,6557,6581.39,35305.73991
2018-09-25,6581.42,6584.01,6325.02,6447.54,40301.029452
2018-09-26,6445.11,6557.99,6379.7,6465.12,33484.54207
2018-09-27,6467.84,6750,6434,6689.13,33087.428297
2018-09-28,6689.12,6814.8,6540.88,6634.58,42399.448523
2018-09-29,6634.58,6636,6464.57,6596.38,30255.9597
2018-09-30,6597.66,6662,6533,6626.57,27764.724519
2018-10-01,6626.57,6667.09,6510,6611.61,20621.506894
2018-10-02,6610,6640,6494,6525.79,28245.810088
2018-10-03,6525.79,6549,6430,6510,28451.969138
2018-10-04,6510.01,6643.46,6505.09,6593.79,20074.300818
2018-10-05,6591.69,6697,6543.08,6635.65,16096.552392
2018-10-06,6635.65,6651,6566.77,6594.27,10939.505391
2018-10-07,6596.44,6640,6525,6615.26,17406.831762
2018-10-08,6615.26,6715.6,6587,6673.01,23123.419541
2018-10-09,6673.01,6685.38,6607,6656.61,15354.779469
2018-10-10,6656.67,6659.95,6530,6631,15390.661444
2018-10-11,6630.21,6633.92,6205,6252.68,48712.400332
2018-10-12,6252.71,6360,6209,6298.01,29004.071419
2018-10-13,6298,6345,6285.07,6332.93,19098.070025
2018-10-14,6332.92,6416,6308,6339.34,15627.411314
2018-10-15,6339.34,7680,6300,6752.5,90748.031246
2018-10-16,6752.5,6900,6670,6759.27,27557.957764
2018-10-17,6762.76,6811.12,6676.01,6740.89,26641.431379
2018-10-18,6739.01,6796,6567,6618.96,20116.521941
2018-10-19,6618.96,6648.14,6523,6528.88,20772.60077
2018-10-20,6528.88,6617.65,6505.55,6588.4,19240.722247
2018-10-21,6585.72,6663.9,6580,6590.11,6515.357792
2018-10-22,6590.12,6639,6535.27,6581.2,16213.69266
2018-10-23,6581.2,6595,6515.45,6553.51,13856.601756
2018-10-24,6553.51,6630,6547.53,6565.5,11951.543977
2018-10-25,6566.81,6575.09,6502.8,6528.09,10342.701244
2018-10-26,6528.13,6600,6515.01,6538.63,9443.504156
2018-10-27,6538.63,6558.35,6463.04,6505.6,7776.907864
2018-10-28,6505.6,6514.17,6453,6489.93,5743.933728
2018-10-29,6489.93,6505.01,6315,6344.5,13827.224067
2018-10-30,6344.5,6395,6317.01,6330.87,8877.175385
2018-10-31,6330.01,6428,6245.02,6371.93,12148.888216
2018-11-01,6369.52,6442.65,6348.66,6410,9099.035841
2018-11-02,6410,6460.34,6388.2,6433.98,9739.440679
2018-11-03,6432.8,6439.97,6345,6387.09,7661.241476
2018-11-04,6388,6525,6359,6485.85,10592.394943
2018-11-05,6485.85,6504.39,6431.02,6468.99,8987.882156
2018-11-06,6468.99,6531.31,6445.18,6519.11,11926.565699
2018-11-07,6522.73,6615.15,6509,6578.46,14271.591117
2018-11-08,6578.46,6594,6468.22,6479.84,13259.789282
2018-11-09,6479.84,6511.53,6391.01,6419.99,11787.616583
2018-11-10,6419.99,6475.55,6411,6433.05,7714.829926
2018-11-11,6435.16,6462.14,6355,6449.81,8213.507117
2018-11-12,6450.71,6497,6421,6453.07,10132.782567
2018-11-13,6451.68,6498,6391.15,6457.66,11790.564933
2018-11-14,6458.98,6482.84,5656.87,5922.41,46478.964003
2018-11-15,5917.2,5939.54,5403.42,5753.4,47700.829401
2018-11-16,5757.09,5782.89,5549.25,5655.94,38721.802274
2018-11-17,5650.57,5656.6,5565.43,5628.29,26411.241413
2018-11-18,5630.49,5738.17,5617,5662,23844.999347
2018-11-19,5661.94,5664,4855,4910.03,70580.892856
2018-11-20,4913.4,5048.24,4326,4558.86,117380.95159
2018-11-21,4559.91,4787.2,4413.85,4661.07,61071.829475
2018-11-22,4661.08,4721.77,4335,4370,34531.119143
2018-11-23,4370.9,4484,4222.94,4420.61,49371.920322
2018-11-24,4415.63,4527,3824.69,3932.44,61693.111006
2018-11-25,3933.68,4233,3652.66,4085.78,101693.975588
2018-11-26,4088.69,4206,3701,3862.2,94503.750767
2018-11-27,3864.45,3940,3689.12,3875.21,67480.607212
2018-11-28,3875.63,4394.47,3874.27,4264.85,91983.567949
2018-11-29,4262.06,4450.38,4125.65,4295.84,73980.198669
2018-11-30,4295.72,4341.36,3943,4041.32,67758.446283
2018-12-01,4041.27,4299.99,3963.01,4190.02,44840.073481
2018-12-02,4190.98,4312.99,4103.04,4161.01,38912.15479
2018-12-03,4160.55,4179,3827,3884.01,49094.369163
2018-12-04,3884.76,4085,3781,3951.64,48489.551613
2018-12-05,3950.98,3970,3745,3769.84,44004.799448
2018-12-06,3768.44,3899.99,3500,3508.75,68378.796943
2018-12-07,3508.75,3549.99,3224.6,3403.55,95145.457442
2018-12-08,3403.57,3495,3222,3410.93,55365.949949
2018-12-09,3411.36,3658,3394.04,3545.37,45956.893296
2018-12-10,3548.49,3610,3370.11,3432.88,40989.244553
2018-12-11,3434.01,3480,3324.32,3380.39,35920.864154
2018-12-12,3379.23,3492,3350,3445,33922.931286
2018-12-13,3446.38,3460,3255.5,3302.06,40040.917013
2018-12-14,3302.06,3335.39,3177,3224.17,44492.983807
2018-12-15,3225.19,3276.5,3156.26,3211.72,29796.041436
2018-12-16,3211.71,3294,3186,3228.67,24628.808538
2018-12-17,3229.22,3585,3216,3509.08,66761.751697
2018-12-18,3509.03,3678.59,3424.47,3652.98,61369.615257
2018-12-19,3653,3912.73,3622.55,3662.22,94137.341014
2018-12-20,3660.01,4120,3635,4049.62,101543.835986
2018-12-21,4051.86,4139.99,3764,3838.66,82343.850112
2018-12-22,3840.25,3979,3785,3948.91,42822.350872
2018-12-23,3948.91,4021.53,3870,3929.71,40117.531529
2018-12-24,3929.71,4198,3924.83,4008.01,64647.809129
2018-12-25,4010.11,4020,3646.41,3745.79,62725.629432
2018-12-26,3745.56,3837.15,3656.74,3777.74,42629.375817
2018-12-27,3777.74,3813.98,3535,3567.91,44097.392912
2018-12-28,3567.89,3887.25,3540.04,3839.26,45964.304987
2018-12-29,3839,3892,3670,3695.32,38874.373903
2018-12-30,3696.71,3903.5,3657.9,3801.91,33222.369262
2018-12-31,3803.12,3810,3630.33,3702.9,29991.77835
2019-01-01,3701.23,3810.16,3642,3797.14,23741.687033
2019-01-02,3796.45,3882.14,3750.45,3858.56,35156.463369
2019-01-03,3857.57,3862.74,3730,3766.78,29406.948359
2019-01-04,3767.2,3823.64,3703.57,3792.01,29519.554671
2019-01-05,3790.09,3840.99,3751,3770.96,30490.667751
2019-01-06,3771.12,4027.71,3740,3987.6,36553.806709
2019-01-07,3987.62,4017.9,3921.53,3975.45,31869.846264
2019-01-08,3976.76,4069.8,3903,3955.13,38901.423122
2019-01-09,3955.45,4006.81,3930.04,3966.65,28989.439511
2019-01-10,3966.06,3996.01,3540,3585.88,59402.22851
2019-01-11,3585.88,3658,3465,3601.31,38338.654733
2019-01-12,3601.31,3618.19,3530,3583.13,21999.928354
2019-01-13,3584.1,3611.1,3441.3,3476.81,26385.757454
2019-01-14,3477.56,3671.87,3467.02,3626.09,35235.211215
2019-01-15,3626.08,3648.42,3516.62,3553.06,34137.997459
2019-01-16,3553.06,3645,3543.51,3591.84,27480.179977
2019-01-17,3591.84,3634.7,3530.39,3616.21,29755.440838
2019-01-18,3613.32,3620,3565.75,3594.87,22713.446755
2019-01-19,3594.87,3720,3594.23,3665.3,22171.578123
2019-01-20,3665.75,3693.73,3475,3539.28,27901.938598
2019-01-21,3539.26,3559.51,3475.5,3526.9,19644.436839
2019-01-22,3526.88,3608.5,3434.85,3570.93,29336.442967
2019-01-23,3570.41,3607.98,3514.5,3552.82,24938.842698
2019-01-24,3552.97,3589,3529.22,3569.62,20826.25118
2019-01-25,3569.07,3587.15,3522.51,3565.29,17608.346671
2019-01-26,3566.69,3662.94,3545,3565.25,19476.532344
2019-01-27,3565.62,3579,3486,3550.84,22735.598162
2019-01-28,3550.05,3557.75,3380.27,3434.15,40405.111401
2019-01-29,3434,3443.45,3349.92,3411.04,29544.928977
2019-01-30,3410.04,3478,3387.1,3458.18,23968.260243
2019-01-31,3457.5,3489.2,3418.8,3434.1,29607.190253
2019-02-01,3434.1,3488,3401.2,3462.07,25260.476159
2019-02-02,3462.2,3526.4,3440.29,3504.77,17920.802
2019-02-03,3504.06,3511.09,3426,3458.11,19867.33639
2019-02-04,3458.11,3484.88,3433.31,3463.22,23131.981108
2019-02-05,3463.22,3478.97,3448.43,3471.59,25264.41503
2019-02-06,3471.57,3482.72,3380,3405.37,35310.244846
2019-02-07,3407,3426.45,3390,3398.4,18665.538638
2019-02-08,3398.4,3733.58,3373.1,3659.04,47968.058013
2019-02-09,3660.27,3680.02,3625.13,3665.18,24759.833719
2019-02-10,3665.18,3684.99,3609.76,3680.06,23250.602634
2019-02-11,3679.75,3684.9,3615.53,3631.05,24954.614571
2019-02-12,3631.05,3667.6,3582.34,3631.46,29479.59823
2019-02-13,3631.51,3670,3591.75,3609.4,25773.997648
2019-02-14,3608.34,3626.4,3568.11,3590.56,21753.501261
2019-02-15,3590.57,3653.23,3573.45,3602.47,20777.872899
2019-02-16,3602.49,3648.2,3597.91,3618.41,19565.992751
2019-02-17,3617.22,3700.11,3604.4,3667.58,25690.227779
2019-02-18,3667.62,3925,3655,3898.6,64042.730492
2019-02-19,3897.35,3994.52,3856,3907.79,50207.172667
2019-02-20,3907.35,3986.98,3870.66,3969.74,36205.14085
2019-02-21,3969.74,4016.48,3901.03,3937.31,31103.884728
2019-02-22,3937.31,3988,3926.65,3962,23943.16375
2019-02-23,3962,4162.02,3933.15,4117.76,33657.942883
2019-02-24,4118,4198,3712.66,3743.56,62224.18689
2019-02-25,3743.56,3872.66,3740,3827.92,38102.966245
2019-02-26,3828.44,3841.51,3777,3809.23,28838.748036
2019-02-27,3809.31,3838.85,3677.17,3818.07,31500.995466
2019-02-28,3818.04,3888,3763.87,3813.69,32561.961044
2019-03-01,3814.26,3857,3813.01,3823,23174.57217
2019-03-02,3822.17,3841.31,3772.25,3819.93,19445.838355
2019-03-03,3819.97,3835,3781.32,3807.75,16718.16541
2019-03-04,3807.32,3830,3670.69,3715.3,34742.84166
2019-03-05,3716.1,3877.1,3703.55,3857.73,32962.536162
