Date,BTC,ETH,XRP,XLM,LTC,ADA
2018-11-27,3940,114.31,0.376,0.15095,32.16,0.03778
2018-11-28,4394.47,126.8,0.40319,0.16787,36.51,0.0442
2018-11-29,4450.38,124,0.395,0.17365,36,0.04487
2018-11-30,4341.36,120.26,0.38331,0.17456,34.53,0.0425
2018-12-01,4299.99,120.8,0.379,0.16998,35.1,0.0424
2018-12-02,4312.99,120.73,0.3799,0.16894,35.24,0.0434
2018-12-03,4179,116.96,0.371,0.16208,33.97,0.04214
2018-12-04,4085,113.2,0.36255,0.15413,32.25,0.04019
2018-12-05,3970,110.58,0.361,0.1473,31.4,0.03768
2018-12-06,3899.99,104.68,0.3455,0.13896,30.49,0.0359
2018-12-07,3549.99,96.9,0.312,0.126,26.94,0.031
2018-12-08,3495,98,0.325,0.1238,26.63,0.03246
2018-12-09,3658,98.7,0.31965,0.12631,26.75,0.03242
2018-12-10,3610,95.21,0.31377,0.12412,25.82,0.03199
2018-12-11,3480,91.65,0.31,0.11728,24.63,0.03013
2018-12-12,3492,91.31,0.31064,0.1153,24.98,0.03088
2018-12-13,3460,90.71,0.30569,0.1126,24.29,0.03067
2018-12-14,3335.39,87.25,0.3008,0.10517,23.76,0.0296
2018-12-15,3276.5,85,0.29149,0.09894,24.06,0.0286
2018-12-16,3294,87.64,0.2954,0.10088,26.96,0.02986
2018-12-17,3585,97,0.337,0.11303,30.3,0.03371
2018-12-18,3678.59,101.3,0.3498,0.114,30.15,0.03463
2018-12-19,3912.73,107.55,0.39265,0.1265,31.55,0.03808
2018-12-20,4120,116,0.38368,0.12551,32.76,0.03987
2018-12-21,4139.99,118,0.383,0.13307,32.87,0.04479
2018-12-22,3979,115.5,0.36,0.12242,31.49,0.04175
2018-12-23,4021.53,131.94,0.37784,0.1277,33.84,0.04444
2018-12-24,4198,157.67,0.45,0.14208,36.12,0.04899
2018-12-25,4020,139.26,0.40399,0.13157,32.93,0.04522
2018-12-26,3837.15,135.32,0.38942,0.12369,31.68,0.04268
2018-12-27,3813.98,131.09,0.375,0.11881,30.89,0.04139
2018-12-28,3887.25,136.66,0.37559,0.12099,33.08,0.04195
2018-12-29,3892,145.42,0.37913,0.12019,32.81,0.04355
2018-12-30,3903.5,139,0.36578,0.11748,32,0.04319
2018-12-31,3810,138.66,0.36932,0.1162,31.43,0.04275
2019-01-01,3810.16,140.67,0.36111,0.1138,31.8,0.042
2019-01-02,3882.14,155.37,0.3745,0.1177,33.29,0.04543
2019-01-03,3862.74,153.64,0.3691,0.11688,32.8,0.04462
2019-01-04,3823.64,154.8,0.358,0.1134,32.53,0.04361
2019-01-05,3840.99,159.26,0.35981,0.11397,35.95,0.04514
2019-01-06,4027.71,157.4,0.36446,0.11999,39.71,0.0488
2019-01-07,4017.9,155.48,0.37218,0.12402,39.04,0.05
2019-01-08,4069.8,151.65,0.36796,0.1247,40.8,0.0497
2019-01-09,4006.81,151.5,0.36919,0.12316,39.72,0.05231
2019-01-10,3996.01,149.45,0.37963,0.12757,38.77,0.05412
2019-01-11,3658,127.36,0.33418,0.10711,33.22,0.04435
2019-01-12,3618.19,126.19,0.32977,0.10487,32.13,0.04393
2019-01-13,3611.1,124.25,0.32953,0.11095,32.63,0.04312
2019-01-14,3671.87,130.05,0.33593,0.10895,32.5,0.04399
2019-01-15,3648.42,129.4,0.33176,0.10815,32.27,0.04387
2019-01-16,3645,126.88,0.33196,0.10763,31.93,0.04466
2019-01-17,3634.7,122.99,0.3284,0.1087,31.55,0.04575
2019-01-18,3620,121.98,0.32548,0.10748,31.53,0.04478
2019-01-19,3720,125.29,0.3325,0.1096,32.92,0.04597
2019-01-20,3693.73,123.32,0.32861,0.10768,33.2,0.04556
2019-01-21,3559.51,118.5,0.32163,0.1033,31.22,0.04339
2019-01-22,3608.5,119.49,0.3202,0.1032,32,0.04401
2019-01-23,3607.98,118.95,0.31933,0.10287,32.18,0.04392
2019-01-24,3589,117.15,0.31795,0.10141,33.1,0.04342
2019-01-25,3587.15,117.5,0.31698,0.10098,33,0.04301
2019-01-26,3662.94,118,0.31887,0.10391,33.95,0.04338
2019-01-27,3579,116.15,0.31409,0.09833,33.2,0.04247
2019-01-28,3557.75,112.87,0.30767,0.09471,32.53,0.04121
2019-01-29,3443.45,106.61,0.294,0.08718,31.26,0.03971
2019-01-30,3478,109.8,0.32646,0.08847,31.97,0.04015
2019-01-31,3489.2,110.61,0.3358,0.08786,32.33,0.04023
2019-02-01,3488,108.35,0.31197,0.08384,33.64,0.03912
2019-02-02,3526.4,111.15,0.31377,0.0837,35.01,0.0395
2019-02-03,3511.09,111.11,0.31215,0.08318,34.89,0.03946
2019-02-04,3484.88,109.3,0.30566,0.08097,34.5,0.03883
2019-02-05,3478.97,108.18,0.30225,0.0788,34.54,0.03868
2019-02-06,3482.72,107.83,0.30101,0.07751,34.5,0.03829
2019-02-07,3426.45,106.18,0.29469,0.0775,33.61,0.03734
2019-02-08,3733.58,123,0.32129,0.08336,44.85,0.0425
2019-02-09,3680.02,121.99,0.3164,0.0822,46.95,0.04223
2019-02-10,3684.99,126.49,0.31286,0.082,47.59,0.04309
2019-02-11,3684.9,125.28,0.3103,0.08066,46.87,0.04299
2019-02-12,3667.6,123.89,0.30842,0.07806,44.57,0.04208
2019-02-13,3670,126.47,0.31373,0.07865,44.66,0.04244
2019-02-14,3626.4,124.5,0.30556,0.07691,42.45,0.04144
2019-02-15,3653.23,124.25,0.30646,0.08151,44.6,0.0416
2019-02-16,3648.2,124.99,0.30408,0.07939,44.37,0.04148
2019-02-17,3700.11,135.61,0.308,0.0805,45.13,0.04228
2019-02-18,3925,148.3,0.32862,0.084,49.03,0.04686
2019-02-19,3994.52,150,0.34777,0.09344,49.1,0.0485
2019-02-20,3986.98,149.52,0.33476,0.09241,52.21,0.0477
2019-02-21,4016.48,149.61,0.33297,0.09428,51.65,0.04809
2019-02-22,3988,148.85,0.32333,0.0923,49.97,0.0461
2019-02-23,4162.02,159.6,0.33395,0.09597,51.88,0.04903
2019-02-24,4198,166,0.34345,0.0972,53.53,0.05053
2019-02-25,3872.66,141.55,0.33975,0.0889,46.85,0.04433
2019-02-26,3841.51,138.41,0.33502,0.08686,45.89,0.04358
2019-02-27,3838.85,140.29,0.31874,0.0859,45.53,0.04343
2019-02-28,3888,139,0.31771,0.08541,46.7,0.04368
2019-03-01,3857,137.95,0.32354,0.0863,48.95,0.04386
2019-03-02,3841.31,136.12,0.31819,0.0858,49.4,0.04338
2019-03-03,3835,134.6,0.31542,0.09,49.1,0.04276
2019-03-04,3830,131.11,0.31222,0.08766,48.22,0.04236
2019-03-05,3877.1,137.84,0.31787,0.08646,54.25,0.0434
2019-03-06,3907,140.29,0.32186,0.08616,56.81,0.04327
2019-03-07,3905.4,140.2,0.31936,0.08591,59.12,0.04338
2019-03-08,3932,139.34,0.316,0.0899,57.6,0.04386
2019-03-09,3971.75,138.65,0.319,0.092,59.83,0.0472
2019-03-10,3943.43,137.5,0.31705,0.1044,58.04,0.04689
2019-03-11,3936.98,136.15,0.315,0.1097,57.37,0.04842
2019-03-12,3905.2,135.3,0.31204,0.10793,56.96,0.04816
2019-03-13,3893.56,133.65,0.32555,0.11243,56.84,0.04851
2019-03-14,3920,135.11,0.31654,0.1128,58.2,0.04812
2019-03-15,3939.22,137.62,0.31678,0.10837,59.15,0.05065
2019-03-16,4056.98,144.47,0.323,0.10998,61.97,0.05195
2019-03-17,4012,141.07,0.31892,0.10899,61.32,0.05134
2019-03-18,4037,142.01,0.32,0.11875,62.63,0.0509
2019-03-19,4031,139.38,0.3166,0.11868,59.96,0.05313
2019-03-20,4050,139.66,0.32275,0.11252,60.74,0.05372
2019-03-21,4069.32,139.55,0.31915,0.10995,60.64,0.0547
2019-03-22,4008,137.2,0.31262,0.1097,59.6,0.05888
2019-03-23,4018.83,138.21,0.31264,0.10944,61.76,0.06464
2019-03-24,4006.02,137.37,0.31186,0.10683,60.9,0.06455
2019-03-25,3999.3,136.83,0.308,0.10594,60.7,0.06155
2019-03-26,3958.98,134.74,0.30384,0.10399,59.35,0.06188
2019-03-27,4048,140.14,0.31097,0.10797,61.87,0.06783
2019-03-28,4039.7,139.57,0.31012,0.10761,61.43,0.06692
2019-03-29,4123.71,143.6,0.31042,0.10843,61.8,0.07338
2019-03-30,4140,145.89,0.31834,0.1077,61.56,0.07302
2019-03-31,4116.12,142.5,0.31168,0.1083,60.72,0.07249
2019-04-01,4158.7,143.08,0.31455,0.11129,60.9,0.0727
2019-04-02,4897.99,165.6,0.35571,0.12212,78.4,0.08549
2019-04-03,5275.01,177.81,0.3705,0.13344,98.5,0.09976
2019-04-04,5039.08,164,0.34669,0.12468,89.85,0.094
2019-04-05,5028.22,167.83,0.37999,0.12975,89.85,0.09209
2019-04-06,5205,172.77,0.36224,0.12831,97.54,0.09375
2019-04-07,5234,175.43,0.367,0.13386,95.44,0.09112
2019-04-08,5305,185.87,0.37012,0.1355,94,0.09175
2019-04-09,5238.4,179.17,0.35574,0.12986,88.71,0.0862
2019-04-10,5422,183.77,0.3578,0.12876,91.1,0.0916
2019-04-11,5332.67,177.48,0.35377,0.12606,88.45,0.09023
2019-04-12,5080.58,166.5,0.3282,0.11596,80.43,0.0849
2019-04-13,5099,165.37,0.3359,0.11675,81.02,0.08477
2019-04-14,5152.99,168.11,0.33,0.11829,83.6,0.08488
2019-04-15,5167.38,168.81,0.33184,0.11917,84.41,0.08531
2019-04-16,5197.72,166.73,0.325,0.11545,81.49,0.08314
2019-04-17,5230.4,167.28,0.341,0.11697,81.5,0.08394
2019-04-18,5287,175.2,0.34671,0.11958,83.66,0.08349
2019-04-19,5320,173.55,0.33537,0.11743,83.17,0.0812
2019-04-20,5333.42,176.97,0.33241,0.1176,82.69,0.07903
2019-04-21,5314.35,173.48,0.32815,0.11564,81.85,0.07746
2019-04-22,5400,172.3,0.3306,0.11433,77.63,0.07885
2019-04-23,5600,175.83,0.32647,0.11319,79.29,0.07979
2019-04-24,5582.2,169.87,0.31989,0.10897,74.69,0.0752
2019-04-25,5491.84,165.49,0.30581,0.1055,74.43,0.076
2019-04-26,5510,162.56,0.30491,0.10385,76.5,0.0725
2019-04-27,5342.5,166.24,0.30499,0.10197,74.01,0.07237
2019-04-28,5340,160.24,0.30278,0.10156,72.72,0.07123
2019-04-29,5332,159.05,0.30161,0.1,70.37,0.0693
2019-04-30,5339.98,162.89,0.31249,0.10071,74.74,0.07019
2019-05-01,5402,163.88,0.31,0.10317,75.36,0.0706
2019-05-02,5538,163.48,0.30478,0.102,74.42,0.06977
2019-05-03,5844,170.86,0.31053,0.10321,80.58,0.0718
2019-05-04,5900,171.3,0.31856,0.10455,82.76,0.07225
2019-05-05,5839.9,165.36,0.305,0.09995,78.16,0.06816
2019-05-06,5805,178.05,0.30751,0.09934,76.91,0.0688
